Epoch,Train Accuracy,Test Accuracy
1,"(38.572, 0.0)","(38.2, 0.0)"
2,"(48.606, 0.9)","(48.1, 2.5)"
3,"(57.42, 51.4)","(56.48, 47.5)"
4,"(64.044, 66.7)","(63.27, 67.0)"
5,"(69.138, 75.0)","(67.24, 76.0)"
6,"(70.466, 82.8)","(68.83, 81.0)"
7,"(71.206, 76.1)","(69.92, 74.5)"
8,"(73.722, 85.2)","(70.98, 83.5)"
9,"(74.288, 83.9)","(71.41, 81.0)"
10,"(76.508, 83.0)","(72.99, 78.5)"
11,"(76.646, 87.2)","(73.03, 87.5)"
12,"(78.614, 92.1)","(74.19, 91.5)"
13,"(78.808, 87.3)","(74.4, 86.0)"
14,"(80.08, 88.1)","(74.56, 88.0)"
15,"(80.384, 89.4)","(75.09, 87.5)"
16,"(80.776, 92.1)","(75.11, 90.0)"
17,"(81.986, 89.9)","(75.22, 89.5)"
18,"(81.952, 92.6)","(75.26, 90.5)"
19,"(84.18, 91.7)","(76.45, 90.5)"
20,"(83.72, 93.4)","(75.97, 92.0)"
21,"(84.784, 92.1)","(76.68, 91.0)"
22,"(84.512, 94.3)","(75.88, 91.5)"
23,"(84.044, 91.3)","(75.72, 89.5)"
24,"(85.99, 91.1)","(76.73, 89.0)"
25,"(86.954, 95.0)","(77.44, 93.0)"
26,"(87.196, 96.3)","(76.93, 93.5)"
27,"(88.61, 95.5)","(77.65, 93.0)"
28,"(88.572, 98.0)","(77.66, 95.5)"
29,"(88.332, 96.3)","(77.68, 93.5)"
30,"(88.218, 95.2)","(76.51, 90.5)"
31,"(89.268, 97.8)","(77.6, 93.5)"
32,"(90.742, 97.0)","(77.85, 93.0)"
33,"(90.266, 96.9)","(76.9, 93.5)"
34,"(92.688, 98.3)","(77.82, 94.5)"
35,"(92.86, 96.9)","(78.17, 92.0)"
36,"(90.282, 97.3)","(76.79, 93.5)"
37,"(92.796, 97.8)","(78.02, 92.0)"
38,"(93.026, 96.7)","(77.63, 91.0)"
39,"(94.032, 96.0)","(78.06, 91.5)"
40,"(94.304, 97.5)","(77.94, 93.0)"
41,"(94.55, 99.0)","(78.01, 94.0)"
42,"(94.524, 98.5)","(77.76, 93.5)"
43,"(95.844, 99.1)","(78.17, 94.0)"
44,"(96.35, 98.4)","(78.21, 93.5)"
45,"(95.156, 98.6)","(77.97, 93.5)"
46,"(95.738, 99.2)","(77.44, 92.5)"
47,"(96.362, 98.3)","(77.6, 93.0)"
48,"(95.684, 98.2)","(77.49, 93.0)"
49,"(97.308, 99.6)","(77.67, 94.5)"
50,"(97.704, 98.7)","(77.99, 92.5)"
51,"(97.348, 97.6)","(78.03, 92.5)"
52,"(97.044, 99.8)","(77.74, 94.5)"
53,"(98.012, 99.1)","(78.19, 93.0)"
54,"(98.472, 99.9)","(77.82, 95.0)"
55,"(98.072, 99.5)","(77.45, 93.0)"
56,"(98.45, 99.2)","(78.26, 92.5)"
57,"(98.132, 99.7)","(77.39, 93.5)"
58,"(99.728, 99.7)","(78.66, 93.5)"
59,"(99.884, 100.0)","(78.59, 93.5)"
60,"(99.986, 100.0)","(78.58, 94.5)"
61,"(99.996, 100.0)","(78.76, 93.5)"
62,"(99.998, 100.0)","(78.92, 93.0)"
63,"(100.0, 100.0)","(78.73, 93.0)"
64,"(100.0, 100.0)","(78.71, 93.0)"
65,"(100.0, 100.0)","(78.71, 93.0)"
66,"(100.0, 100.0)","(78.61, 93.0)"
67,"(100.0, 100.0)","(78.76, 93.0)"
68,"(100.0, 100.0)","(78.79, 93.0)"
69,"(100.0, 100.0)","(78.74, 93.0)"
70,"(100.0, 100.0)","(78.69, 93.0)"
71,"(100.0, 100.0)","(78.63, 93.0)"
72,"(100.0, 100.0)","(78.84, 93.0)"
73,"(100.0, 100.0)","(78.62, 93.0)"
74,"(100.0, 100.0)","(78.64, 93.0)"
75,"(100.0, 100.0)","(78.81, 93.0)"
76,"(100.0, 100.0)","(78.71, 93.0)"
77,"(100.0, 100.0)","(78.7, 93.0)"
78,"(100.0, 100.0)","(78.64, 93.0)"
79,"(100.0, 100.0)","(78.66, 93.0)"
80,"(100.0, 100.0)","(78.53, 93.0)"
81,"(100.0, 100.0)","(78.63, 93.0)"
82,"(100.0, 100.0)","(78.77, 93.0)"
83,"(100.0, 100.0)","(78.62, 93.0)"
84,"(100.0, 100.0)","(78.56, 93.0)"
85,"(100.0, 100.0)","(78.62, 93.0)"
86,"(100.0, 100.0)","(78.75, 93.0)"
87,"(100.0, 100.0)","(78.76, 93.0)"
88,"(100.0, 100.0)","(78.73, 93.0)"
89,"(100.0, 100.0)","(78.61, 93.0)"
90,"(100.0, 100.0)","(78.69, 93.0)"
91,"(100.0, 100.0)","(78.73, 93.0)"
92,"(100.0, 100.0)","(78.75, 93.0)"
93,"(100.0, 100.0)","(78.79, 93.0)"
94,"(100.0, 100.0)","(78.83, 93.0)"
95,"(100.0, 100.0)","(78.71, 93.0)"
96,"(100.0, 100.0)","(78.73, 93.0)"
97,"(100.0, 100.0)","(78.63, 93.0)"
98,"(100.0, 100.0)","(78.78, 93.0)"
99,"(100.0, 100.0)","(78.72, 93.0)"
100,"(100.0, 100.0)","(78.73, 93.0)"
