Epoch,Train Accuracy,Test Accuracy
1,"(38.304, 0.0)","(37.32, 0.0)"
2,"(60.46, 0.0)","(58.99, 0.0)"
3,"(67.462, 0.13333333333333333)","(66.66, 0.0)"
4,"(72.186, 2.1333333333333333)","(70.76, 1.3333333333333333)"
5,"(75.026, 12.8)","(72.93, 14.0)"
6,"(76.774, 39.333333333333336)","(74.39, 43.333333333333336)"
7,"(77.534, 41.46666666666667)","(74.59, 43.333333333333336)"
8,"(80.402, 51.6)","(76.56, 50.0)"
9,"(79.948, 76.0)","(76.78, 75.33333333333333)"
10,"(80.976, 73.2)","(77.24, 73.33333333333333)"
11,"(83.84, 75.33333333333333)","(79.33, 74.66666666666667)"
12,"(84.358, 76.13333333333334)","(79.41, 75.33333333333333)"
13,"(84.44, 76.66666666666667)","(79.21, 77.33333333333333)"
14,"(85.918, 81.73333333333333)","(79.83, 84.0)"
15,"(86.134, 80.93333333333334)","(79.88, 83.33333333333333)"
16,"(87.528, 77.6)","(79.9, 78.66666666666667)"
17,"(87.168, 83.06666666666666)","(80.39, 84.66666666666667)"
18,"(88.076, 88.93333333333334)","(80.15, 89.33333333333333)"
19,"(88.898, 82.8)","(80.44, 82.66666666666667)"
20,"(88.934, 89.73333333333333)","(80.34, 90.66666666666667)"
21,"(90.19, 92.93333333333334)","(80.42, 90.66666666666667)"
22,"(91.256, 87.73333333333333)","(81.11, 86.66666666666667)"
23,"(91.466, 89.86666666666666)","(81.13, 89.33333333333333)"
24,"(92.328, 93.06666666666666)","(80.98, 91.33333333333333)"
25,"(93.03, 91.86666666666666)","(81.46, 91.33333333333333)"
26,"(92.596, 90.4)","(81.09, 87.33333333333333)"
27,"(93.886, 96.0)","(81.2, 90.0)"
28,"(93.776, 93.46666666666667)","(81.06, 91.33333333333333)"
29,"(94.732, 92.13333333333334)","(81.06, 89.33333333333333)"
30,"(95.268, 94.4)","(81.05, 90.66666666666667)"
31,"(95.47, 95.33333333333333)","(81.04, 90.66666666666667)"
32,"(96.564, 96.26666666666667)","(81.23, 89.33333333333333)"
33,"(95.682, 95.2)","(81.01, 90.66666666666667)"
34,"(96.622, 96.93333333333334)","(81.11, 92.0)"
35,"(96.988, 96.4)","(81.57, 90.66666666666667)"
36,"(97.244, 98.0)","(81.02, 89.33333333333333)"
37,"(97.074, 93.6)","(81.14, 87.33333333333333)"
