Epoch,Train Accuracy,Test Accuracy
38,"(98.532, 98.26666666666667)","(81.36, 90.66666666666667)"
39,"(98.628, 98.8)","(81.22, 91.33333333333333)"
40,"(99.058, 99.2)","(81.49, 90.0)"
41,"(99.488, 99.6)","(81.71, 91.33333333333333)"
42,"(99.656, 99.73333333333333)","(81.7, 90.66666666666667)"
43,"(99.862, 99.33333333333333)","(81.72, 90.0)"
44,"(99.932, 100.0)","(81.75, 90.0)"
45,"(99.994, 100.0)","(81.79, 91.33333333333333)"
46,"(99.992, 100.0)","(81.74, 90.66666666666667)"
47,"(99.994, 100.0)","(81.71, 91.33333333333333)"
48,"(99.998, 100.0)","(81.71, 90.66666666666667)"
49,"(100.0, 100.0)","(81.72, 90.66666666666667)"
50,"(100.0, 100.0)","(81.63, 90.66666666666667)"
51,"(100.0, 100.0)","(81.57, 90.66666666666667)"
52,"(100.0, 100.0)","(81.53, 90.66666666666667)"
53,"(100.0, 100.0)","(81.72, 91.33333333333333)"
54,"(100.0, 100.0)","(81.68, 90.66666666666667)"
55,"(100.0, 100.0)","(81.56, 90.66666666666667)"
56,"(100.0, 100.0)","(81.52, 90.66666666666667)"
57,"(100.0, 100.0)","(81.54, 90.66666666666667)"
58,"(100.0, 100.0)","(81.54, 90.66666666666667)"
59,"(100.0, 100.0)","(81.49, 90.66666666666667)"
60,"(100.0, 100.0)","(81.55, 90.66666666666667)"
61,"(100.0, 100.0)","(81.74, 90.66666666666667)"
62,"(100.0, 100.0)","(81.51, 90.66666666666667)"
63,"(100.0, 100.0)","(81.53, 90.66666666666667)"
64,"(100.0, 100.0)","(81.62, 90.66666666666667)"
65,"(100.0, 100.0)","(81.72, 90.66666666666667)"
66,"(100.0, 100.0)","(81.58, 90.66666666666667)"
67,"(100.0, 100.0)","(81.61, 90.66666666666667)"
68,"(100.0, 100.0)","(81.6, 90.66666666666667)"
69,"(100.0, 100.0)","(81.62, 90.66666666666667)"
70,"(100.0, 100.0)","(81.69, 90.66666666666667)"
71,"(100.0, 100.0)","(81.55, 90.66666666666667)"
72,"(100.0, 100.0)","(81.65, 90.66666666666667)"
73,"(100.0, 100.0)","(81.63, 90.66666666666667)"
74,"(100.0, 100.0)","(81.64, 90.66666666666667)"
75,"(100.0, 100.0)","(81.65, 90.66666666666667)"
76,"(100.0, 100.0)","(81.59, 90.66666666666667)"
77,"(100.0, 100.0)","(81.61, 90.66666666666667)"
78,"(100.0, 100.0)","(81.6, 90.66666666666667)"
79,"(100.0, 100.0)","(81.66, 90.66666666666667)"
80,"(100.0, 100.0)","(81.84, 90.66666666666667)"
81,"(100.0, 100.0)","(81.65, 90.66666666666667)"
82,"(100.0, 100.0)","(81.75, 90.66666666666667)"
83,"(100.0, 100.0)","(81.73, 90.66666666666667)"
84,"(100.0, 100.0)","(81.73, 90.66666666666667)"
85,"(100.0, 100.0)","(81.74, 90.66666666666667)"
86,"(100.0, 100.0)","(81.67, 90.66666666666667)"
87,"(100.0, 100.0)","(81.71, 90.66666666666667)"
88,"(100.0, 100.0)","(81.64, 90.66666666666667)"
89,"(100.0, 100.0)","(81.68, 90.66666666666667)"
90,"(100.0, 100.0)","(81.72, 90.66666666666667)"
91,"(100.0, 100.0)","(81.69, 90.66666666666667)"
92,"(100.0, 100.0)","(81.72, 90.66666666666667)"
93,"(100.0, 100.0)","(81.71, 90.66666666666667)"
94,"(100.0, 100.0)","(81.7, 90.66666666666667)"
95,"(100.0, 100.0)","(81.66, 90.66666666666667)"
96,"(100.0, 100.0)","(81.79, 90.66666666666667)"
97,"(100.0, 100.0)","(81.72, 90.66666666666667)"
98,"(100.0, 100.0)","(81.65, 90.66666666666667)"
99,"(100.0, 100.0)","(81.67, 90.66666666666667)"
100,"(100.0, 100.0)","(81.76, 90.66666666666667)"
