Epoch,Train Accuracy,Test Accuracy
1,"(33.768, 0.0)","(33.42, 0.2)"
2,"(45.182, 0.16)","(45.28, 0.4)"
3,"(53.256, 24.36)","(52.37, 22.0)"
4,"(60.582, 84.36)","(59.38, 84.0)"
5,"(58.348, 84.56)","(56.7, 85.6)"
6,"(65.152, 90.52)","(62.98, 90.0)"
7,"(68.502, 94.32)","(66.19, 92.0)"
8,"(67.904, 95.12)","(65.32, 94.6)"
9,"(70.336, 89.92)","(67.51, 89.0)"
10,"(73.344, 94.96)","(69.76, 94.2)"
11,"(72.188, 95.08)","(68.84, 93.4)"
12,"(75.71, 95.96)","(71.65, 95.2)"
13,"(73.09, 96.96)","(69.51, 95.0)"
14,"(77.066, 98.0)","(72.48, 96.8)"
15,"(76.724, 89.72)","(72.55, 89.0)"
16,"(76.892, 97.24)","(72.58, 96.0)"
17,"(77.866, 97.84)","(72.77, 96.0)"
18,"(77.904, 95.64)","(72.84, 93.8)"
19,"(78.226, 92.88)","(73.13, 91.0)"
20,"(80.512, 98.12)","(74.8, 96.6)"
21,"(80.422, 98.76)","(74.45, 97.4)"
22,"(81.536, 98.0)","(75.57, 96.2)"
23,"(81.114, 97.2)","(74.71, 95.2)"
24,"(79.972, 98.88)","(73.72, 96.6)"
25,"(83.322, 98.2)","(76.02, 96.0)"
26,"(81.938, 97.6)","(75.12, 96.2)"
27,"(82.914, 97.28)","(75.36, 95.0)"
28,"(83.052, 97.32)","(76.2, 95.4)"
29,"(83.924, 99.2)","(75.92, 96.8)"
30,"(85.324, 98.8)","(77.31, 97.2)"
31,"(85.874, 98.76)","(77.02, 96.0)"
32,"(85.962, 97.48)","(76.25, 94.6)"
33,"(86.508, 98.76)","(77.26, 96.0)"
34,"(84.682, 98.68)","(75.54, 96.0)"
35,"(86.672, 99.4)","(77.08, 96.8)"
36,"(87.266, 99.24)","(77.21, 97.2)"
37,"(87.286, 99.4)","(76.83, 97.0)"
38,"(88.354, 99.08)","(76.99, 95.8)"
39,"(88.156, 99.6)","(77.11, 97.4)"
40,"(89.342, 99.68)","(77.23, 96.6)"
41,"(87.836, 97.56)","(76.44, 95.0)"
42,"(89.198, 99.56)","(76.32, 96.8)"
43,"(89.788, 99.76)","(77.63, 96.8)"
44,"(89.42, 96.04)","(76.98, 93.8)"
45,"(90.936, 98.76)","(77.75, 95.6)"
46,"(90.058, 99.32)","(76.97, 96.4)"
47,"(91.398, 99.56)","(77.57, 96.4)"
48,"(90.22, 99.44)","(76.63, 96.0)"
49,"(91.886, 99.76)","(77.49, 96.8)"
50,"(91.902, 99.8)","(77.37, 96.0)"
51,"(91.524, 99.8)","(76.58, 96.6)"
52,"(94.19, 99.56)","(77.69, 96.0)"
53,"(93.322, 98.2)","(77.35, 95.0)"
54,"(94.084, 99.84)","(77.28, 95.8)"
55,"(91.786, 99.36)","(76.44, 95.0)"
56,"(93.34, 99.24)","(77.64, 95.2)"
57,"(94.176, 99.96)","(77.82, 96.2)"
58,"(93.81, 99.08)","(77.35, 95.0)"
59,"(94.558, 99.4)","(77.3, 94.2)"
60,"(95.138, 99.52)","(77.81, 96.0)"
61,"(95.826, 99.8)","(77.76, 96.0)"
62,"(96.038, 99.84)","(77.96, 96.2)"
63,"(96.172, 99.92)","(78.23, 96.6)"
64,"(95.252, 99.96)","(77.39, 96.2)"
65,"(97.214, 99.8)","(78.23, 95.2)"
66,"(95.178, 99.44)","(76.94, 95.2)"
67,"(91.308, 99.4)","(75.74, 95.0)"
68,"(95.35, 99.64)","(76.75, 96.6)"
69,"(95.894, 99.92)","(76.77, 96.2)"
70,"(97.146, 100.0)","(77.57, 96.8)"
71,"(93.658, 96.64)","(76.06, 93.2)"
72,"(97.2, 100.0)","(77.78, 96.4)"
73,"(97.354, 98.76)","(77.53, 95.2)"
74,"(98.014, 99.84)","(77.68, 95.4)"
75,"(98.314, 99.12)","(77.95, 95.2)"
76,"(97.018, 99.96)","(77.75, 96.0)"
77,"(97.634, 99.88)","(77.56, 95.6)"
78,"(97.632, 100.0)","(77.73, 96.2)"
79,"(97.534, 99.72)","(77.4, 94.8)"
80,"(98.462, 99.76)","(77.66, 94.6)"
81,"(98.956, 99.64)","(78.33, 94.4)"
82,"(96.49, 99.56)","(77.57, 94.6)"
83,"(97.288, 99.96)","(77.29, 96.2)"
84,"(96.906, 99.28)","(77.39, 95.6)"
85,"(99.06, 99.92)","(77.99, 95.6)"
86,"(99.954, 100.0)","(79.06, 95.6)"
87,"(99.998, 100.0)","(79.1, 96.0)"
88,"(100.0, 100.0)","(78.97, 96.0)"
89,"(100.0, 100.0)","(78.95, 96.2)"
90,"(100.0, 100.0)","(79.13, 96.2)"
91,"(100.0, 100.0)","(79.01, 96.2)"
92,"(100.0, 100.0)","(79.26, 96.2)"
93,"(100.0, 100.0)","(79.17, 96.2)"
94,"(100.0, 100.0)","(79.09, 96.2)"
95,"(100.0, 100.0)","(79.08, 96.2)"
96,"(100.0, 100.0)","(79.18, 96.2)"
97,"(100.0, 100.0)","(79.2, 96.2)"
98,"(100.0, 100.0)","(79.14, 96.2)"
99,"(100.0, 100.0)","(79.16, 96.2)"
100,"(100.0, 100.0)","(79.12, 96.2)"
