Epoch,Train Accuracy,Test Accuracy
1,"(39.646, 0.0)","(38.92, 0.0)"
2,"(50.172, 0.0)","(48.8, 0.0)"
3,"(59.972, 0.0)","(58.63, 0.0)"
4,"(62.168, 0.0)","(60.58, 0.0)"
5,"(66.808, 0.0)","(65.08, 0.0)"
6,"(69.782, 0.0)","(67.06, 0.0)"
7,"(70.768, 0.0)","(68.4, 0.0)"
8,"(73.838, 0.0)","(70.71, 0.0)"
9,"(72.97, 0.4)","(69.74, 0.0)"
10,"(76.368, 0.0)","(72.15, 0.0)"
11,"(76.9, 2.0)","(73.0, 4.0)"
12,"(77.86, 0.0)","(73.45, 0.0)"
13,"(78.252, 2.4)","(73.31, 2.0)"
14,"(79.958, 4.0)","(74.61, 4.0)"
15,"(79.782, 10.4)","(74.49, 16.0)"
16,"(81.082, 4.0)","(75.46, 8.0)"
17,"(80.026, 16.4)","(74.14, 12.0)"
18,"(82.174, 14.8)","(75.55, 14.0)"
19,"(81.044, 17.6)","(74.51, 16.0)"
20,"(83.434, 32.8)","(76.21, 30.0)"
21,"(83.458, 42.8)","(76.35, 30.0)"
22,"(83.31, 45.6)","(76.45, 40.0)"
23,"(84.654, 41.6)","(76.34, 34.0)"
24,"(84.822, 56.8)","(76.36, 46.0)"
25,"(84.878, 55.6)","(76.63, 46.0)"
26,"(85.844, 61.2)","(76.63, 46.0)"
27,"(87.502, 66.0)","(77.24, 46.0)"
28,"(87.356, 74.8)","(76.8, 52.0)"
29,"(86.366, 63.2)","(77.06, 50.0)"
30,"(88.554, 56.4)","(77.4, 44.0)"
31,"(88.236, 70.8)","(77.13, 50.0)"
32,"(88.282, 75.6)","(77.42, 58.0)"
33,"(89.052, 58.0)","(77.72, 50.0)"
34,"(89.92, 76.8)","(77.69, 56.0)"
35,"(90.922, 76.8)","(77.97, 54.0)"
36,"(89.552, 81.2)","(77.12, 52.0)"
37,"(91.21, 86.4)","(77.24, 56.0)"
38,"(91.622, 72.4)","(77.31, 58.0)"
39,"(91.202, 83.6)","(77.38, 54.0)"
40,"(91.682, 76.8)","(77.85, 52.0)"
41,"(93.228, 82.0)","(77.77, 54.0)"
42,"(92.172, 88.4)","(77.09, 56.0)"
43,"(93.04, 85.2)","(77.3, 58.0)"
44,"(93.69, 88.0)","(77.87, 56.0)"
45,"(93.476, 85.2)","(77.08, 52.0)"
46,"(94.314, 94.4)","(77.58, 58.0)"
47,"(94.402, 87.2)","(78.22, 56.0)"
48,"(95.528, 90.4)","(77.57, 56.0)"
49,"(95.11, 94.8)","(77.28, 60.0)"
50,"(94.93, 91.2)","(77.39, 54.0)"
51,"(94.772, 92.8)","(77.41, 58.0)"
52,"(97.078, 96.8)","(77.93, 56.0)"
53,"(94.11, 79.2)","(77.01, 52.0)"
54,"(96.66, 96.0)","(78.02, 56.0)"
55,"(94.626, 86.4)","(77.08, 56.0)"
56,"(96.662, 98.4)","(77.57, 62.0)"
57,"(97.594, 98.8)","(77.75, 56.0)"
58,"(98.922, 97.2)","(78.16, 56.0)"
59,"(98.168, 98.4)","(77.79, 64.0)"
60,"(98.816, 99.2)","(77.9, 60.0)"
61,"(97.664, 97.6)","(77.35, 62.0)"
62,"(97.446, 94.4)","(77.56, 56.0)"
63,"(97.898, 98.4)","(77.71, 54.0)"
64,"(99.388, 98.8)","(78.19, 58.0)"
65,"(99.56, 100.0)","(78.26, 56.0)"
66,"(99.706, 100.0)","(78.4, 62.0)"
67,"(99.974, 100.0)","(78.36, 58.0)"
68,"(99.99, 100.0)","(78.43, 58.0)"
69,"(99.998, 100.0)","(78.42, 56.0)"
70,"(99.998, 100.0)","(78.67, 56.0)"
71,"(99.998, 100.0)","(78.6, 58.0)"
72,"(100.0, 100.0)","(78.46, 56.0)"
73,"(100.0, 100.0)","(78.55, 58.0)"
74,"(100.0, 100.0)","(78.68, 56.0)"
75,"(100.0, 100.0)","(78.52, 58.0)"
76,"(100.0, 100.0)","(78.6, 56.0)"
77,"(100.0, 100.0)","(78.63, 56.0)"
78,"(100.0, 100.0)","(78.7, 56.0)"
79,"(100.0, 100.0)","(78.65, 56.0)"
80,"(100.0, 100.0)","(78.64, 56.0)"
81,"(100.0, 100.0)","(78.68, 56.0)"
82,"(100.0, 100.0)","(78.7, 58.0)"
83,"(100.0, 100.0)","(78.72, 56.0)"
84,"(100.0, 100.0)","(78.65, 58.0)"
85,"(100.0, 100.0)","(78.64, 56.0)"
86,"(100.0, 100.0)","(78.6, 56.0)"
87,"(100.0, 100.0)","(78.6, 56.0)"
88,"(100.0, 100.0)","(78.65, 56.0)"
89,"(100.0, 100.0)","(78.65, 56.0)"
90,"(100.0, 100.0)","(78.66, 56.0)"
91,"(100.0, 100.0)","(78.6, 56.0)"
92,"(100.0, 100.0)","(78.62, 56.0)"
93,"(100.0, 100.0)","(78.68, 56.0)"
94,"(100.0, 100.0)","(78.71, 56.0)"
95,"(100.0, 100.0)","(78.64, 56.0)"
96,"(100.0, 100.0)","(78.53, 56.0)"
97,"(100.0, 100.0)","(78.65, 56.0)"
98,"(100.0, 100.0)","(78.59, 56.0)"
99,"(100.0, 100.0)","(78.62, 56.0)"
100,"(100.0, 100.0)","(78.69, 56.0)"
