Epoch,Train Accuracy,Test Accuracy
1,"(35.822, 0.0)","(35.58, 0.0)"
2,"(48.24, 0.0)","(47.53, 0.0)"
3,"(58.476, 0.56)","(56.85, 0.0)"
4,"(62.73, 14.08)","(61.16, 10.4)"
5,"(63.522, 48.48)","(62.66, 48.4)"
6,"(67.362, 74.48)","(65.54, 71.2)"
7,"(71.784, 86.0)","(69.17, 83.6)"
8,"(71.438, 79.6)","(69.05, 79.2)"
9,"(73.404, 80.48)","(70.69, 80.4)"
10,"(74.378, 89.6)","(71.21, 89.6)"
11,"(76.618, 89.28)","(72.4, 88.0)"
12,"(78.1, 87.52)","(74.0, 86.8)"
13,"(75.6, 90.96)","(71.72, 89.6)"
14,"(78.426, 93.04)","(74.01, 92.0)"
15,"(79.886, 91.52)","(75.01, 90.8)"
16,"(79.596, 94.96)","(75.11, 94.0)"
17,"(80.342, 95.28)","(75.01, 92.8)"
18,"(81.064, 88.72)","(75.76, 87.2)"
19,"(81.188, 90.96)","(75.82, 88.8)"
20,"(81.806, 93.68)","(75.84, 92.4)"
21,"(83.134, 96.48)","(77.01, 94.4)"
22,"(84.372, 95.92)","(77.05, 92.4)"
23,"(83.318, 93.68)","(76.68, 90.0)"
24,"(85.116, 96.16)","(78.06, 92.8)"
25,"(84.164, 92.8)","(76.89, 90.4)"
26,"(84.908, 96.16)","(76.85, 92.0)"
27,"(85.776, 95.76)","(77.81, 92.8)"
28,"(86.402, 93.6)","(77.67, 90.8)"
29,"(88.002, 95.84)","(78.34, 92.4)"
30,"(85.798, 95.92)","(76.69, 92.4)"
31,"(86.958, 96.08)","(78.05, 92.0)"
32,"(88.684, 98.0)","(78.11, 93.2)"
33,"(87.754, 97.84)","(77.78, 93.6)"
34,"(89.91, 98.88)","(78.27, 94.4)"
35,"(87.632, 97.2)","(77.08, 92.8)"
36,"(90.106, 97.84)","(78.16, 92.8)"
37,"(90.606, 99.04)","(78.26, 94.8)"
38,"(90.866, 99.36)","(78.44, 95.2)"
39,"(91.99, 99.04)","(79.07, 94.8)"
40,"(90.446, 94.64)","(78.27, 91.2)"
41,"(91.508, 97.36)","(78.9, 92.0)"
42,"(92.41, 98.48)","(78.26, 92.8)"
43,"(91.634, 99.52)","(78.26, 94.8)"
44,"(92.014, 98.64)","(77.92, 92.4)"
45,"(93.72, 99.36)","(78.46, 92.8)"
46,"(92.792, 98.88)","(78.2, 93.6)"
47,"(93.354, 98.88)","(78.31, 92.4)"
48,"(93.604, 96.32)","(78.22, 90.0)"
49,"(95.788, 99.92)","(78.67, 94.0)"
50,"(94.942, 98.96)","(78.29, 92.8)"
51,"(94.322, 99.6)","(78.04, 93.2)"
52,"(96.014, 99.76)","(78.95, 93.6)"
53,"(94.772, 99.44)","(78.57, 93.2)"
54,"(93.54, 98.64)","(77.62, 92.0)"
55,"(96.574, 99.68)","(78.99, 93.2)"
56,"(95.164, 99.6)","(77.96, 93.2)"
57,"(96.808, 98.32)","(78.61, 91.6)"
58,"(98.096, 99.84)","(78.96, 92.8)"
59,"(98.254, 99.84)","(79.12, 93.2)"
60,"(96.502, 99.84)","(78.06, 92.8)"
61,"(97.648, 99.76)","(78.78, 91.6)"
62,"(98.182, 99.84)","(78.75, 91.6)"
63,"(98.622, 99.6)","(79.07, 92.4)"
64,"(96.316, 98.08)","(77.68, 90.4)"
65,"(98.532, 100.0)","(78.72, 94.8)"
66,"(99.248, 99.92)","(79.34, 93.2)"
67,"(98.936, 99.68)","(79.41, 93.6)"
68,"(96.836, 99.92)","(77.97, 94.8)"
69,"(99.152, 100.0)","(78.65, 93.2)"
70,"(99.968, 100.0)","(79.62, 94.0)"
71,"(99.974, 100.0)","(79.79, 93.2)"
72,"(99.998, 100.0)","(79.56, 93.2)"
73,"(100.0, 100.0)","(79.56, 93.2)"
74,"(100.0, 100.0)","(79.63, 93.6)"
75,"(100.0, 100.0)","(79.64, 93.6)"
76,"(100.0, 100.0)","(79.7, 93.2)"
77,"(100.0, 100.0)","(79.86, 93.6)"
78,"(100.0, 100.0)","(79.81, 93.2)"
79,"(100.0, 100.0)","(79.64, 93.2)"
80,"(100.0, 100.0)","(79.75, 93.2)"
81,"(100.0, 100.0)","(79.68, 93.2)"
82,"(100.0, 100.0)","(79.73, 94.0)"
83,"(100.0, 100.0)","(79.73, 93.6)"
84,"(100.0, 100.0)","(79.73, 93.6)"
85,"(100.0, 100.0)","(79.69, 93.6)"
86,"(100.0, 100.0)","(79.73, 93.6)"
87,"(100.0, 100.0)","(79.78, 93.6)"
88,"(100.0, 100.0)","(79.81, 93.2)"
89,"(100.0, 100.0)","(79.78, 93.2)"
90,"(100.0, 100.0)","(79.77, 94.0)"
91,"(100.0, 100.0)","(79.73, 93.6)"
92,"(100.0, 100.0)","(79.77, 93.6)"
93,"(100.0, 100.0)","(79.76, 93.6)"
94,"(100.0, 100.0)","(79.78, 94.0)"
95,"(100.0, 100.0)","(79.86, 93.6)"
96,"(100.0, 100.0)","(79.68, 93.6)"
97,"(100.0, 100.0)","(79.76, 93.6)"
98,"(100.0, 100.0)","(79.84, 93.2)"
99,"(100.0, 100.0)","(79.72, 94.4)"
100,"(100.0, 100.0)","(79.75, 94.0)"
