Epoch,Train Accuracy,Test Accuracy
1,"(37.622, 0.0)","(37.14, 0.0)"
2,"(44.614, 0.0)","(44.59, 0.0)"
3,"(52.656, 18.066666666666666)","(52.45, 15.0)"
4,"(61.24, 65.8)","(60.51, 64.0)"
5,"(61.794, 57.8)","(60.49, 52.333333333333336)"
6,"(62.742, 79.6)","(61.22, 75.66666666666667)"
7,"(67.326, 82.66666666666667)","(65.4, 80.33333333333333)"
8,"(70.494, 88.06666666666666)","(67.62, 84.33333333333333)"
9,"(72.15, 90.13333333333334)","(69.16, 86.0)"
10,"(73.774, 91.4)","(70.5, 89.33333333333333)"
11,"(75.24, 93.93333333333334)","(71.73, 90.33333333333333)"
12,"(74.774, 92.46666666666667)","(71.08, 89.33333333333333)"
13,"(76.47, 92.26666666666667)","(72.32, 87.0)"
14,"(75.182, 91.53333333333333)","(70.87, 87.66666666666667)"
15,"(78.518, 93.86666666666666)","(73.64, 90.66666666666667)"
16,"(79.522, 93.86666666666666)","(74.67, 90.0)"
17,"(79.852, 94.53333333333333)","(74.04, 92.0)"
18,"(79.86, 91.66666666666667)","(74.5, 87.0)"
19,"(77.566, 94.4)","(72.52, 91.0)"
20,"(81.646, 91.73333333333333)","(75.08, 88.33333333333333)"
21,"(82.694, 95.6)","(74.85, 90.33333333333333)"
22,"(82.674, 94.46666666666667)","(75.31, 90.66666666666667)"
23,"(82.232, 97.4)","(74.31, 93.33333333333333)"
24,"(83.462, 96.73333333333333)","(75.51, 92.66666666666667)"
25,"(83.99, 97.93333333333334)","(75.56, 94.33333333333333)"
26,"(83.522, 97.4)","(75.7, 92.66666666666667)"
27,"(82.862, 97.53333333333333)","(74.2, 91.66666666666667)"
28,"(85.754, 98.33333333333333)","(76.17, 94.33333333333333)"
29,"(85.132, 97.13333333333334)","(76.0, 92.0)"
30,"(85.764, 97.46666666666667)","(76.04, 93.33333333333333)"
31,"(85.688, 95.86666666666666)","(76.14, 90.33333333333333)"
32,"(87.626, 95.4)","(77.25, 91.0)"
33,"(88.03, 97.33333333333333)","(76.8, 91.66666666666667)"
34,"(89.418, 97.06666666666666)","(77.21, 90.0)"
35,"(89.272, 98.73333333333333)","(76.89, 92.66666666666667)"
36,"(89.838, 97.93333333333334)","(76.94, 92.66666666666667)"
37,"(85.026, 98.06666666666666)","(74.62, 93.66666666666667)"
38,"(90.778, 97.06666666666666)","(77.07, 91.0)"
39,"(91.71, 98.06666666666666)","(77.72, 91.66666666666667)"
40,"(88.912, 98.73333333333333)","(76.24, 92.33333333333333)"
41,"(89.782, 98.46666666666667)","(76.45, 92.33333333333333)"
42,"(89.28, 99.46666666666667)","(76.25, 93.33333333333333)"
43,"(93.062, 98.93333333333334)","(78.08, 92.66666666666667)"
44,"(92.344, 97.8)","(76.94, 89.33333333333333)"
45,"(91.038, 98.8)","(76.1, 92.0)"
46,"(92.402, 98.93333333333334)","(77.04, 91.66666666666667)"
47,"(93.04, 99.4)","(77.27, 93.66666666666667)"
48,"(92.372, 99.33333333333333)","(76.58, 93.33333333333333)"
49,"(95.038, 99.53333333333333)","(77.56, 91.33333333333333)"
50,"(93.842, 98.66666666666667)","(77.0, 90.66666666666667)"
51,"(93.648, 98.33333333333333)","(76.87, 91.0)"
52,"(95.462, 99.73333333333333)","(76.91, 93.0)"
53,"(94.57, 99.4)","(77.15, 91.66666666666667)"
54,"(96.076, 99.73333333333333)","(77.21, 93.66666666666667)"
55,"(95.636, 98.46666666666667)","(77.01, 89.0)"
56,"(95.062, 99.66666666666667)","(76.82, 92.66666666666667)"
57,"(96.864, 99.86666666666666)","(77.15, 93.0)"
58,"(96.67, 98.13333333333334)","(77.26, 89.33333333333333)"
59,"(97.052, 99.73333333333333)","(76.88, 91.33333333333333)"
60,"(95.308, 99.8)","(76.76, 94.0)"
61,"(98.024, 99.2)","(77.52, 91.0)"
62,"(95.662, 99.33333333333333)","(76.56, 91.33333333333333)"
63,"(96.094, 99.73333333333333)","(76.52, 91.66666666666667)"
64,"(97.304, 99.4)","(76.97, 91.0)"
65,"(99.162, 100.0)","(77.68, 92.0)"
66,"(97.284, 99.53333333333333)","(77.0, 92.0)"
67,"(96.406, 99.6)","(76.07, 91.33333333333333)"
68,"(98.844, 99.8)","(77.5, 91.66666666666667)"
69,"(98.506, 100.0)","(77.28, 92.33333333333333)"
70,"(99.214, 99.93333333333334)","(77.6, 91.66666666666667)"
71,"(99.388, 99.93333333333334)","(78.09, 91.33333333333333)"
72,"(99.96, 100.0)","(78.08, 91.33333333333333)"
73,"(99.944, 100.0)","(78.21, 91.66666666666667)"
74,"(100.0, 100.0)","(78.13, 92.0)"
75,"(100.0, 100.0)","(78.12, 92.0)"
76,"(100.0, 100.0)","(78.23, 92.0)"
77,"(100.0, 100.0)","(78.21, 92.0)"
78,"(100.0, 100.0)","(78.33, 92.0)"
79,"(100.0, 100.0)","(78.27, 92.0)"
80,"(100.0, 100.0)","(78.34, 92.0)"
81,"(100.0, 100.0)","(78.24, 91.33333333333333)"
82,"(100.0, 100.0)","(78.29, 92.0)"
83,"(100.0, 100.0)","(78.29, 91.66666666666667)"
84,"(100.0, 100.0)","(78.21, 92.0)"
85,"(100.0, 100.0)","(78.3, 91.66666666666667)"
86,"(100.0, 100.0)","(78.32, 92.0)"
87,"(100.0, 100.0)","(78.29, 92.0)"
88,"(100.0, 100.0)","(78.27, 92.0)"
89,"(100.0, 100.0)","(78.28, 91.66666666666667)"
90,"(100.0, 100.0)","(78.22, 91.66666666666667)"
91,"(100.0, 100.0)","(78.28, 92.0)"
92,"(100.0, 100.0)","(78.26, 92.0)"
93,"(100.0, 100.0)","(78.26, 91.33333333333333)"
94,"(100.0, 100.0)","(78.26, 91.33333333333333)"
95,"(100.0, 100.0)","(78.28, 91.0)"
96,"(100.0, 100.0)","(78.28, 91.0)"
97,"(100.0, 100.0)","(78.23, 91.33333333333333)"
98,"(100.0, 100.0)","(78.16, 91.0)"
99,"(100.0, 100.0)","(78.2, 91.0)"
100,"(100.0, 100.0)","(78.27, 91.33333333333333)"
