Epoch,Train Accuracy,Test Accuracy
78,"(100.0, 100.0)","(82.02, 93.14285714285714)"
79,"(100.0, 100.0)","(81.97, 93.14285714285714)"
80,"(100.0, 100.0)","(82.05, 93.14285714285714)"
81,"(100.0, 100.0)","(81.95, 93.14285714285714)"
82,"(100.0, 100.0)","(82.06, 92.85714285714286)"
83,"(100.0, 100.0)","(82.09, 93.14285714285714)"
84,"(100.0, 100.0)","(82.03, 93.14285714285714)"
85,"(100.0, 100.0)","(82.07, 93.14285714285714)"
86,"(100.0, 100.0)","(82.0, 93.14285714285714)"
87,"(100.0, 100.0)","(82.05, 93.14285714285714)"
88,"(100.0, 100.0)","(82.01, 93.14285714285714)"
89,"(100.0, 100.0)","(82.03, 93.14285714285714)"
90,"(100.0, 100.0)","(82.11, 93.14285714285714)"
91,"(100.0, 100.0)","(81.99, 93.14285714285714)"
92,"(100.0, 100.0)","(81.98, 93.14285714285714)"
93,"(100.0, 100.0)","(81.97, 93.14285714285714)"
94,"(100.0, 100.0)","(82.08, 93.14285714285714)"
95,"(100.0, 100.0)","(82.07, 93.14285714285714)"
96,"(100.0, 100.0)","(82.03, 93.14285714285714)"
97,"(100.0, 100.0)","(82.07, 93.14285714285714)"
98,"(100.0, 100.0)","(82.01, 92.85714285714286)"
99,"(100.0, 100.0)","(82.05, 93.14285714285714)"
100,"(100.0, 100.0)","(82.03, 93.14285714285714)"
