Epoch,Train Accuracy,Test Accuracy
1,"(38.668, 0.0)","(37.71, 0.0)"
2,"(56.638, 4.3428571428571425)","(55.99, 2.5714285714285716)"
3,"(66.414, 21.02857142857143)","(64.74, 21.714285714285715)"
4,"(71.924, 61.6)","(70.22, 63.714285714285715)"
5,"(75.438, 78.45714285714286)","(73.19, 78.57142857142857)"
6,"(76.798, 86.57142857142857)","(74.56, 83.14285714285714)"
7,"(78.966, 85.14285714285714)","(75.99, 82.85714285714286)"
8,"(79.986, 91.6)","(76.77, 88.28571428571429)"
9,"(81.814, 90.57142857142857)","(77.53, 86.57142857142857)"
10,"(81.056, 89.54285714285714)","(77.25, 85.71428571428571)"
11,"(83.358, 90.0)","(78.76, 86.28571428571429)"
12,"(83.904, 92.05714285714286)","(78.5, 87.42857142857143)"
13,"(84.324, 91.94285714285714)","(78.89, 86.85714285714286)"
14,"(84.418, 95.08571428571429)","(78.97, 91.42857142857143)"
15,"(86.162, 92.34285714285714)","(79.74, 87.42857142857143)"
16,"(87.494, 90.51428571428572)","(80.43, 85.71428571428571)"
17,"(87.482, 95.25714285714285)","(79.83, 90.28571428571429)"
18,"(87.858, 95.88571428571429)","(80.11, 91.42857142857143)"
19,"(88.53, 94.45714285714286)","(80.23, 89.14285714285714)"
20,"(89.056, 96.34285714285714)","(79.91, 91.42857142857143)"
21,"(89.64, 93.02857142857142)","(80.58, 85.71428571428571)"
22,"(89.692, 97.2)","(80.55, 91.42857142857143)"
23,"(91.93, 96.85714285714286)","(81.62, 91.71428571428571)"
24,"(90.988, 95.08571428571429)","(81.11, 89.71428571428571)"
25,"(91.372, 97.94285714285714)","(80.58, 92.28571428571429)"
26,"(90.912, 96.45714285714286)","(80.23, 89.42857142857143)"
27,"(93.874, 97.94285714285714)","(81.44, 93.14285714285714)"
28,"(94.716, 97.48571428571428)","(81.27, 91.14285714285714)"
29,"(95.146, 99.25714285714285)","(81.08, 93.14285714285714)"
30,"(95.804, 98.74285714285715)","(81.0, 92.0)"
31,"(95.674, 99.42857142857143)","(81.3, 92.85714285714286)"
32,"(95.7, 99.14285714285714)","(80.69, 92.85714285714286)"
33,"(96.772, 99.54285714285714)","(81.41, 92.85714285714286)"
34,"(96.138, 99.42857142857143)","(80.7, 92.85714285714286)"
35,"(97.402, 99.71428571428571)","(80.91, 92.85714285714286)"
36,"(97.366, 99.42857142857143)","(81.3, 92.28571428571429)"
37,"(97.676, 98.97142857142858)","(81.16, 92.0)"
38,"(98.092, 99.14285714285714)","(81.14, 92.28571428571429)"
39,"(99.374, 99.37142857142857)","(81.4, 89.71428571428571)"
40,"(99.18, 100.0)","(81.48, 93.14285714285714)"
41,"(99.02, 99.82857142857142)","(81.65, 93.14285714285714)"
42,"(99.786, 100.0)","(81.52, 93.42857142857143)"
43,"(99.918, 100.0)","(81.66, 93.42857142857143)"
44,"(99.978, 100.0)","(81.58, 92.57142857142857)"
45,"(99.996, 100.0)","(81.97, 92.85714285714286)"
46,"(100.0, 100.0)","(81.99, 93.14285714285714)"
47,"(100.0, 100.0)","(81.8, 92.85714285714286)"
48,"(100.0, 100.0)","(81.91, 93.14285714285714)"
49,"(100.0, 100.0)","(81.87, 93.42857142857143)"
50,"(100.0, 100.0)","(81.8, 92.85714285714286)"
51,"(100.0, 100.0)","(81.92, 93.42857142857143)"
52,"(100.0, 100.0)","(81.89, 92.85714285714286)"
53,"(100.0, 100.0)","(82.05, 93.42857142857143)"
54,"(100.0, 100.0)","(81.93, 92.85714285714286)"
55,"(100.0, 100.0)","(81.95, 93.14285714285714)"
56,"(100.0, 100.0)","(81.93, 93.42857142857143)"
57,"(100.0, 100.0)","(81.91, 92.85714285714286)"
58,"(100.0, 100.0)","(81.95, 93.42857142857143)"
59,"(100.0, 100.0)","(82.03, 92.57142857142857)"
60,"(100.0, 100.0)","(81.97, 93.14285714285714)"
61,"(100.0, 100.0)","(81.99, 93.42857142857143)"
62,"(100.0, 100.0)","(81.97, 93.14285714285714)"
63,"(100.0, 100.0)","(82.05, 93.14285714285714)"
64,"(100.0, 100.0)","(82.0, 93.14285714285714)"
65,"(100.0, 100.0)","(82.02, 93.14285714285714)"
66,"(100.0, 100.0)","(81.94, 93.14285714285714)"
67,"(100.0, 100.0)","(82.03, 93.14285714285714)"
68,"(100.0, 100.0)","(82.02, 93.42857142857143)"
69,"(100.0, 100.0)","(82.04, 93.14285714285714)"
70,"(100.0, 100.0)","(82.06, 93.14285714285714)"
71,"(100.0, 100.0)","(82.06, 93.14285714285714)"
72,"(100.0, 100.0)","(82.05, 93.14285714285714)"
73,"(100.0, 100.0)","(82.0, 93.14285714285714)"
74,"(100.0, 100.0)","(82.09, 93.14285714285714)"
75,"(100.0, 100.0)","(82.02, 93.14285714285714)"
76,"(100.0, 100.0)","(82.05, 93.42857142857143)"
77,"(100.0, 100.0)","(82.03, 93.14285714285714)"
