Epoch,Train Accuracy,Test Accuracy
1,"(35.4, 0.0)","(35.55, 0.0)"
2,"(32.752, 0.0)","(33.01, 0.0)"
3,"(41.616, 44.266666666666666)","(41.52, 46.666666666666664)"
4,"(51.92, 43.28888888888889)","(50.77, 40.888888888888886)"
5,"(52.534, 88.75555555555556)","(51.39, 86.0)"
6,"(57.868, 89.68888888888888)","(56.89, 86.88888888888889)"
7,"(61.414, 81.82222222222222)","(60.37, 79.77777777777777)"
8,"(62.316, 86.04444444444445)","(61.04, 83.55555555555556)"
9,"(65.708, 88.93333333333334)","(64.12, 87.55555555555556)"
10,"(65.084, 92.44444444444444)","(63.74, 91.55555555555556)"
11,"(67.184, 90.22222222222223)","(65.58, 89.11111111111111)"
12,"(63.858, 92.44444444444444)","(62.59, 90.44444444444444)"
13,"(69.234, 95.42222222222222)","(67.94, 94.44444444444444)"
14,"(70.222, 93.6)","(68.1, 91.55555555555556)"
15,"(72.476, 96.75555555555556)","(70.04, 95.77777777777777)"
16,"(70.262, 94.4888888888889)","(67.33, 92.44444444444444)"
17,"(72.754, 88.31111111111112)","(70.05, 86.88888888888889)"
18,"(74.368, 97.28888888888889)","(71.2, 96.66666666666667)"
19,"(73.486, 97.24444444444444)","(70.12, 95.77777777777777)"
20,"(75.85, 97.55555555555556)","(72.21, 96.44444444444444)"
21,"(74.378, 92.8)","(70.53, 91.11111111111111)"
22,"(74.682, 97.02222222222223)","(71.24, 95.77777777777777)"
23,"(73.652, 96.13333333333334)","(70.19, 95.11111111111111)"
24,"(76.404, 99.15555555555555)","(72.06, 98.0)"
25,"(76.022, 97.64444444444445)","(71.99, 96.44444444444444)"
26,"(78.384, 94.26666666666667)","(74.15, 91.33333333333333)"
27,"(77.824, 97.95555555555555)","(73.64, 96.44444444444444)"
28,"(77.114, 97.5111111111111)","(72.01, 95.11111111111111)"
29,"(78.93, 99.2)","(73.74, 97.55555555555556)"
30,"(80.306, 98.13333333333334)","(74.6, 96.44444444444444)"
31,"(78.356, 95.6)","(73.03, 93.11111111111111)"
32,"(80.51, 98.88888888888889)","(74.71, 96.66666666666667)"
33,"(78.806, 97.5111111111111)","(73.54, 94.88888888888889)"
34,"(81.328, 99.11111111111111)","(75.22, 97.11111111111111)"
35,"(81.28, 99.02222222222223)","(74.75, 97.11111111111111)"
36,"(82.814, 98.93333333333334)","(75.98, 96.66666666666667)"
37,"(82.044, 99.06666666666666)","(75.0, 97.11111111111111)"
38,"(82.086, 98.97777777777777)","(75.13, 96.88888888888889)"
39,"(83.044, 99.42222222222222)","(76.05, 97.33333333333333)"
40,"(82.618, 97.68888888888888)","(75.46, 94.0)"
