Epoch,Train Accuracy,Test Accuracy
41,"(83.888, 99.64444444444445)","(75.8, 98.0)"
42,"(83.238, 98.66666666666667)","(75.16, 95.33333333333333)"
43,"(84.614, 98.4)","(76.13, 94.22222222222223)"
44,"(83.536, 99.24444444444444)","(75.45, 97.55555555555556)"
45,"(82.082, 98.26666666666667)","(74.63, 95.33333333333333)"
46,"(83.648, 94.97777777777777)","(75.2, 90.0)"
47,"(84.166, 99.5111111111111)","(75.36, 96.88888888888889)"
48,"(85.476, 98.44444444444444)","(77.02, 96.88888888888889)"
49,"(84.484, 98.35555555555555)","(75.66, 95.77777777777777)"
50,"(85.838, 97.5111111111111)","(76.49, 94.44444444444444)"
51,"(85.9, 99.6)","(76.26, 96.88888888888889)"
52,"(88.078, 99.46666666666667)","(77.37, 96.22222222222223)"
53,"(88.19, 99.82222222222222)","(77.39, 95.55555555555556)"
54,"(84.266, 98.53333333333333)","(74.81, 95.33333333333333)"
55,"(86.052, 99.5111111111111)","(75.8, 97.55555555555556)"
56,"(86.108, 99.06666666666666)","(75.88, 96.0)"
57,"(88.334, 99.77777777777777)","(76.7, 97.55555555555556)"
58,"(86.456, 99.24444444444444)","(75.67, 95.55555555555556)"
59,"(85.718, 97.15555555555555)","(75.45, 93.33333333333333)"
60,"(89.126, 99.68888888888888)","(77.03, 97.55555555555556)"
61,"(85.362, 97.95555555555555)","(74.6, 94.44444444444444)"
62,"(89.332, 99.77777777777777)","(76.63, 95.33333333333333)"
63,"(87.476, 99.86666666666666)","(75.32, 96.88888888888889)"
64,"(89.7, 99.64444444444445)","(76.77, 95.77777777777777)"
65,"(90.696, 99.2)","(77.1, 94.44444444444444)"
66,"(88.35, 99.68888888888888)","(75.34, 96.66666666666667)"
67,"(91.32, 99.91111111111111)","(76.75, 96.88888888888889)"
68,"(89.18, 99.64444444444445)","(76.07, 95.11111111111111)"
69,"(89.65, 99.46666666666667)","(75.71, 95.11111111111111)"
70,"(90.844, 99.73333333333333)","(76.74, 95.33333333333333)"
71,"(91.744, 99.91111111111111)","(76.2, 96.88888888888889)"
72,"(92.314, 99.28888888888889)","(76.46, 94.0)"
73,"(92.916, 99.55555555555556)","(77.21, 95.33333333333333)"
74,"(89.676, 99.46666666666667)","(75.7, 95.33333333333333)"
75,"(92.716, 99.6)","(76.54, 95.55555555555556)"
76,"(92.444, 99.6)","(77.0, 96.44444444444444)"
77,"(88.968, 99.64444444444445)","(75.13, 96.0)"
78,"(94.704, 99.86666666666666)","(77.16, 95.77777777777777)"
79,"(91.196, 99.82222222222222)","(75.87, 95.33333333333333)"
80,"(92.566, 99.86666666666666)","(76.56, 96.22222222222223)"
81,"(91.428, 99.91111111111111)","(75.3, 96.0)"
82,"(91.26, 99.6)","(75.64, 95.11111111111111)"
83,"(93.19, 99.86666666666666)","(75.88, 96.22222222222223)"
84,"(93.618, 99.86666666666666)","(75.68, 95.55555555555556)"
85,"(93.822, 99.82222222222222)","(76.08, 96.66666666666667)"
86,"(91.862, 99.95555555555555)","(75.61, 96.44444444444444)"
87,"(95.76, 99.95555555555555)","(77.17, 96.22222222222223)"
88,"(94.23, 99.73333333333333)","(76.3, 95.33333333333333)"
89,"(92.214, 99.95555555555555)","(75.36, 96.44444444444444)"
90,"(96.778, 99.95555555555555)","(77.47, 96.66666666666667)"
91,"(95.474, 99.91111111111111)","(76.47, 97.11111111111111)"
92,"(95.132, 99.95555555555555)","(76.89, 96.22222222222223)"
93,"(95.826, 99.64444444444445)","(76.79, 95.33333333333333)"
94,"(95.014, 99.11111111111111)","(76.34, 93.55555555555556)"
95,"(94.2, 99.24444444444444)","(76.52, 95.77777777777777)"
96,"(95.412, 99.86666666666666)","(76.2, 96.44444444444444)"
97,"(93.044, 99.77777777777777)","(75.1, 95.77777777777777)"
98,"(96.084, 99.95555555555555)","(76.65, 97.11111111111111)"
99,"(93.562, 99.91111111111111)","(75.19, 96.88888888888889)"
100,"(97.19, 99.68888888888888)","(76.74, 95.33333333333333)"
